netamount,GregorianDate
5212756645,3/21/2023
71385266852,3/22/2023
70793700793,3/23/2023
54303631523,3/24/2023
53372029147,3/25/2023
52561873268,3/26/2023
52895091506,3/27/2023
51638784884,3/28/2023
51984393724,3/29/2023
54131363841,3/30/2023
51919267388,3/31/2023
59944089440,4/1/2023
29042327136,4/2/2023
53107620631,4/3/2023
55903794564,4/4/2023
52925090816,4/5/2023
63067599182,4/6/2023
62685652568,4/7/2023
49884979137,4/8/2023
48409110622,4/9/2023
67492816488,4/10/2023
61138311489,4/11/2023
59518333267,4/12/2023
69067053280,4/13/2023
64615181690,4/14/2023
51481662780,4/15/2023
52062194582,4/16/2023
57998549585,4/17/2023
56028258990,4/18/2023
67371333235,4/19/2023
92705807029,4/20/2023
82591320270,4/21/2023
51658051506,4/22/2023
55952041830,4/23/2023
60507208119,4/24/2023
61276716217,4/25/2023
56379277723,4/26/2023
67359285115,4/27/2023
65836163581,4/28/2023
59110462111,4/29/2023
58014497143,4/30/2023
59876409364,5/1/2023
57836355631,5/2/2023
59124524256,5/3/2023
76279473099,5/4/2023
74302951735,5/5/2023
57522937826,5/6/2023
59316595368,5/7/2023
60446889701,5/8/2023
59210960998,5/9/2023
58313924523,5/10/2023
83084971156,5/11/2023
73581779213,5/12/2023
61179221170,5/13/2023
60768026972,5/14/2023
64302031912,5/15/2023
72726461481,5/16/2023
59497940587,5/17/2023
73865639490,5/18/2023
70013356906,5/19/2023
62965542465,5/20/2023
88850481897,5/21/2023
88699904876,5/22/2023
77459613257,5/23/2023
72807628048,5/24/2023
84013753176,5/25/2023
80770566899,5/26/2023
63754977319,5/27/2023
64195843116,5/28/2023
66251762376,5/29/2023
63912133826,5/30/2023
59424159098,5/31/2023
79734455821,6/1/2023
75654635623,6/2/2023
70611547623,6/3/2023
58519735164,6/4/2023
58248826262,6/5/2023
56401395962,6/6/2023
54818037830,6/7/2023
66988887517,6/8/2023
65640326727,6/9/2023
57163570603,6/10/2023
71024405485,6/11/2023
63527167473,6/12/2023
60421363016,6/13/2023
57332595191,6/14/2023
68671271732,6/15/2023
66004619710,6/16/2023
56011308375,6/17/2023
55237417847,6/18/2023
61963997395,6/19/2023
73497010410,6/20/2023
1.00446E+11,6/21/2023
1.11753E+11,6/22/2023
1.06515E+11,6/23/2023
86539479290,6/24/2023
69515968583,6/25/2023
67859621788,6/26/2023
73165641309,6/27/2023
76816149723,6/28/2023
72422598052,6/29/2023
71238106829,6/30/2023
61396368366,7/1/2023
60411088296,7/2/2023
69647134748,7/3/2023
64065610383,7/4/2023
63793576268,7/5/2023
79537619913,7/6/2023
62966292436,7/7/2023
66106552050,7/8/2023
66075539894,7/9/2023
66352496635,7/10/2023
66252871117,7/11/2023
90710155105,7/12/2023
1.05447E+11,7/13/2023
1.0036E+11,7/14/2023
65557518071,7/15/2023
64975450931,7/16/2023
72018022582,7/17/2023
67307350793,7/18/2023
66296531476,7/19/2023
99414101986,7/20/2023
1.11305E+11,7/21/2023
1.02723E+11,7/22/2023
1.04063E+11,7/23/2023
1.00814E+11,7/24/2023
80146073065,7/25/2023
86127795533,7/26/2023
9941262059,7/27/2023
4843225760,7/28/2023
84244204111,7/29/2023
78158198105,7/30/2023
72917955064,7/31/2023
72189992264,8/1/2023
75670171300,8/2/2023
72829848943,8/3/2023
71845221079,8/4/2023
61862691553,8/5/2023
63329811552,8/6/2023
70359530773,8/7/2023
70300096313,8/8/2023
68154854983,8/9/2023
84414023822,8/10/2023
84963318266,8/11/2023
74979035414,8/12/2023
69137565394,8/13/2023
68149442316,8/14/2023
64822747793,8/15/2023
64167172289,8/16/2023
79780376158,8/17/2023
75490159504,8/18/2023
63791212585,8/19/2023
63714143887,8/20/2023
72982586568,8/21/2023
83253417601,8/22/2023
92541394574,8/23/2023
1.09558E+11,8/24/2023
98145525234,8/25/2023
84371037662,8/26/2023
79937616986,8/27/2023
80163319780,8/28/2023
77715917378,8/29/2023
73894661402,8/30/2023
94375946600,8/31/2023
85501544133,9/1/2023
77296733241,9/2/2023
74209529646,9/3/2023
79726032976,9/4/2023
83409400364,9/5/2023
68507323263,9/6/2023
85503384089,9/7/2023
75383935130,9/8/2023
68757197856,9/9/2023
71136997199,9/10/2023
75841974057,9/11/2023
92579378247,9/12/2023
91757781810,9/13/2023
85263246888,9/14/2023
80186860905,9/15/2023
64207315323,9/16/2023
67788832743,9/17/2023
73414747951,9/18/2023
74284152285,9/19/2023
81114570575,9/20/2023
1.04931E+11,9/21/2023
1.32518E+11,9/22/2023
92867996500,9/23/2023
1.00831E+11,9/24/2023
79958333460,9/25/2023
77137113587,9/26/2023
72409706390,9/27/2023
86091188926,9/28/2023
91388195928,9/29/2023
66489157711,9/30/2023
65951644091,10/1/2023
69084135420,10/2/2023
78884011160,10/3/2023
64621484458,10/4/2023
74969389931,10/5/2023
83664861318,10/6/2023
62625461013,10/7/2023
62352688268,10/8/2023
68420473183,10/9/2023
61710493455,10/10/2023
61138607490,10/11/2023
80100969464,10/12/2023
1.03712E+11,10/13/2023
69758424212,10/14/2023
65456388663,10/15/2023
67627108815,10/16/2023
64538543530,10/17/2023
65780915326,10/18/2023
84406751838,10/19/2023
94338971270,10/20/2023
77460441813,10/21/2023
87060456267,10/22/2023
97338028609,10/23/2023
1.04189E+11,10/24/2023
1.03638E+11,10/25/2023
91426596117,10/26/2023
93333095000,10/27/2023
77037886621,10/28/2023
77217674966,10/29/2023
71835098210,10/30/2023
72488349366,10/31/2023
70304772692,11/1/2023
79020110376,11/2/2023
88908585202,11/3/2023
73566761898,11/4/2023
69793026835,11/5/2023
72288784874,11/6/2023
62557603525,11/7/2023
62065073479,11/8/2023
81448965641,11/9/2023
84494348429,11/10/2023
60078155228,11/11/2023
69000613678,11/12/2023
75237742326,11/13/2023
70470893235,11/14/2023
67966330563,11/15/2023
79846299670,11/16/2023
84158150052,11/17/2023
68863099040,11/18/2023
64422169444,11/19/2023
69042158951,11/20/2023
80947253512,11/21/2023
97190152463,11/22/2023
1.11986E+11,11/23/2023
1.19099E+11,11/24/2023
82288756819,11/25/2023
85470253368,11/26/2023
78096524833,11/27/2023
74812545258,11/28/2023
74699562930,11/29/2023
91635871678,11/30/2023
98999001998,12/1/2023
60002862497,12/2/2023
60970187704,12/3/2023
67736514937,12/4/2023
68922374110,12/5/2023
68705053292,12/6/2023
88132028626,12/7/2023
92239996182,12/8/2023
61544610961,12/9/2023
59713290851,12/10/2023
71808959591,12/11/2023
88452356278,12/12/2023
80150672039,12/13/2023
88452356278,12/14/2023
80150672039,12/15/2023
76544953199,12/16/2023
79415415804,12/17/2023
70441613644,12/18/2023
82384889813,12/19/2023
1.08321E+11,12/20/2023
92409465501,12/21/2023
1.101E+11,12/22/2023
83701266717,12/23/2023
76828342942,12/24/2023
77643545553,12/25/2023
72791232014,12/26/2023
70742463855,12/27/2023
92343205250,12/28/2023
1.00486E+11,12/29/2023
64333208006,12/30/2023
60128051748,12/31/2023
